Rk,Player,Contract Worth,Pos,FT%,FG%,APG,PPG,3P%,RPG,Total,min,max,mean
4,Jaden Ivey,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
7,Johnny Davis,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
10,Bennedict Mathurin,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
11,Dyson Daniels,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
14,Ochai Agbaji,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
18,Malaki Branham,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
22,Blake Wesley,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
23,Nikola Jovic,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
26,Wendell Moore Jr,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
6,Shaedon Sharpe,0.0,SG,3.0,3.0,3.0,3.0,1.0,3.0,16.0,9228703.0,26422143.0,14768041.0
21,Jaden Hardy,0.0,SG,3.0,1.0,3.0,3.0,3.0,3.0,16.0,9228703.0,26422143.0,14768041.0
