Rk,Player,Contract Worth,Pos,FT%,FG%,APG,PPG,3P%,RPG,Total,min,max,mean
2,Chet Holmgren,0.0,C,3.0,3.0,3.0,3.0,3.0,3.0,18.0,14724873.0,36664449.0,21358467.0
9,Jalen Duren,0.0,C,3.0,3.0,3.0,3.0,0.0,3.0,15.0,8224593.0,40379230.0,15865155.0
16,Mark Williams,0.0,C,3.0,3.0,3.0,3.0,0.0,3.0,15.0,8224593.0,40379230.0,15865155.0
1,Jabari Smith,0.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
3,Paolo Banchero,0.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
12,Tari Eason,0.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
24,E.J. Liddell,0.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
27,Walker Kessler,0.0,PF,1.0,3.0,1.0,3.0,3.0,3.0,14.0,7681457.0,26422143.0,12760536.0
13,TyTy Washington,0.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
17,Kennedy Chandler,0.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
28,Jean Montero,0.0,PG,3.0,1.0,1.0,1.0,0.0,1.0,7.0,10017385.0,30184438.0,17616418.0
5,Keegan Murray,0.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
8,A.J. Griffin,0.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
19,Ousmane Dieng,0.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
20,Kendall Brown,0.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
25,Marjon Beauchamp,0.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
30,Christian Braun,0.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
15,Jeremy Sochan,0.0,SF,1.0,3.0,3.0,3.0,3.0,3.0,16.0,9161694.0,24855194.0,14465590.0
29,Patrick Baldwin Jr,0.0,SF,3.0,1.0,3.0,3.0,3.0,3.0,16.0,9161694.0,24855194.0,14465590.0
4,Jaden Ivey,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
7,Johnny Davis,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
10,Bennedict Mathurin,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
11,Dyson Daniels,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
14,Ochai Agbaji,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
18,Malaki Branham,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
22,Blake Wesley,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
23,Nikola Jovic,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
26,Wendell Moore Jr,0.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
6,Shaedon Sharpe,0.0,SG,3.0,3.0,3.0,3.0,1.0,3.0,16.0,9228703.0,26422143.0,14768041.0
21,Jaden Hardy,0.0,SG,3.0,1.0,3.0,3.0,3.0,3.0,16.0,9228703.0,26422143.0,14768041.0
