Rk,MPG,PPG,RPG,APG
1,33.2,16.5,9.3,2.5
2,35.3,16.3,3.9,6.7
3,26.7,14.6,1.9,3.5
4,28.6,12.9,2.8,2.1
5,30.5,13.4,4.1,3
6,19.2,5.2,5.4,0.3
7,29.7,12.8,6.2,3.3
8,12.7,5.5,1.5,0.9
9,21.1,10.3,2.9,1.2
10,18.1,7.6,1.8,3.5
11,28,9.4,8.6,0.8
12,14,5.2,3.6,0.4
13,24.7,10.1,7.1,0.9
14,25.8,11.1,2,2.8
15,6.6,3.4,0.9,0.7
16,24.2,10.6,5.4,1.3
17,10.6,4,2.5,0.6
18,17.4,4.9,4.2,0.4
19,27.7,11.1,2.6,3.7
20,16.7,7.7,2.5,1.5
21,20.6,7.3,7.5,0.6
22,11.4,4.2,1,1.8
23,23.2,6.9,5.4,1.4
24,9,2.7,2.5,0.4
25,12.5,5.7,3.3,0.3
26,7.4,2,0.8,0.8
27,24.7,10.3,5.9,1.1
28,3.7,1,1.3,0
29,26.3,11.6,4.2,3.7
30,17.3,5.3,3.6,0.6
31,16.4,6.2,1.3,2.8
32,10,3.3,1,1
33,4.4,2.1,1.4,0.2
34,12,3.6,1,1.6
35,12.2,3.9,2.6,0.5
36,15.6,5.7,3.4,1
37,20.6,9.9,2.1,2.1
38,11.7,3.3,1.8,0.8
39,5.3,1.9,1,0.1
40,23.8,7.8,2.1,3.9
41,9.1,2.2,1.8,1.3
42,17.1,7.3,3.5,0.9
43,18,6.2,4.3,0.4
44,9.6,3.1,0.7,2
45,28.9,10,7.5,1.1
46,11.2,4.8,2.7,0.6
47,18.7,6.8,4.9,0.6
48,24.2,14.3,5.3,1.2
49,NA,NA,NA,NA
50,4.1,1.8,1,0.5
51,16,5.5,1.6,1.9
52,4.3,1.1,0.9,0.4
53,NA,NA,NA,NA
54,15.2,6.3,1.8,1
1,36.3,16.2,7.5,3.3
2,30.1,12.6,3.1,6.1
3,29.4,11.7,6.7,2.8
4,30.8,9.8,10.3,1
5,30.6,14.3,3.2,3.1
6,19.7,8,4.2,1.4
7,21.2,7.2,4.9,1.5
8,20,6.7,1.9,1.7
9,21.6,8,3.2,1.6
10,24.2,11,6.2,1.1
11,29.8,13.8,3,6.1
12,20.9,7.3,1.9,4
13,27.1,8,7.9,0.9
14,4.3,1.9,1,0.3
15,19.1,5.6,4.5,0.8
16,19.7,10.3,5.3,0.7
17,20.1,8.9,4.8,0.9
18,8.2,3.3,1.1,0.4
19,17.1,6.7,1.5,2.2
20,8.2,2.8,1.9,0.3
21,23.4,10.1,2.5,4.9
22,9.4,3,2.4,0.3
23,19.6,8.5,5.2,0.6
24,25.5,9.6,3.8,2.8
25,NA,NA,NA,NA
26,7,2.6,1.3,0.4
27,14.4,4.3,3.3,0.8
28,12,3.3,1.3,1.1
29,NA,NA,NA,NA
30,8.2,3.4,0.9,0.7
31,17.6,4.8,1.8,2.2
32,1.5,3,0,0
33,14.1,4.7,3.2,0.8
34,5.8,2.3,0.8,1.5
35,25,9,2,4.3
36,11.7,3.7,1.2,2.2
37,17.3,6.3,1.4,3.1
38,NA,NA,NA,NA
39,11,4.2,1,0.7
40,14.6,4.5,1.3,2.1
41,8,4.2,1,0.5
42,NA,NA,NA,NA
43,11.9,4.6,1.2,1.1
44,NA,NA,NA,NA
45,28.7,11,3.1,2.7
46,21.8,10.6,3.4,1.1
47,NA,NA,NA,NA
48,19.3,7.6,4.7,1.2
49,11.6,4.5,0.9,1.7
50,NA,NA,NA,NA
51,14.6,5,3.6,0.7
52,NA,NA,NA,NA
53,NA,NA,NA,NA
54,NA,NA,NA,NA
1,34.7,23.7,10.9,2.5
2,31,17.1,8.5,1.1
3,29.7,12.8,6.7,2.6
4,32.8,14.3,4.7,3.2
5,28.2,11.9,6.5,1.6
6,30.9,13,7.3,2.8
7,26.6,11.8,3.9,2.3
8,25.3,12.3,3.4,1.5
9,30.3,11.5,7.5,1.5
10,16.7,5,4.1,0.7
11,24.5,7,4.8,2.1
12,18.7,9,2.2,1.2
13,28,10.1,3.4,2
14,23.8,10.1,3.2,1.7
15,24.7,9.7,2.6,2.4
16,7.2,2.4,0.6,1.7
17,31.5,11.2,4.1,3.6
18,18.4,9,2.5,0.8
19,20.9,10.9,3.8,1.3
20,22.1,8.2,1.5,1.7
21,16.9,5.7,1.8,2.2
22,23,7.4,5.9,2.2
23,20.8,5.1,1.3,3.6
24,38.6,18.3,4.1,4
25,16.8,5.9,3.5,0.7
26,8.1,3.5,1.1,0.3
27,12.5,3.9,3,0.5
28,11.7,4.9,3.7,0.2
29,31.1,9.1,7.7,1.5
30,18.1,6.2,3.8,0.8
31,5.8,1.5,1.8,0.1
32,16.8,5.9,1.6,3
33,7.4,2.4,0.9,0.7
34,17.7,5.1,1.3,2.8
35,12.4,3.5,1,2
36,8.9,2.3,0.7,2
37,4.1,2.2,0.5,0.2
38,7.6,2.3,0.5,1
39,8,2.9,0.5,1.2
40,NA,NA,NA,NA
41,23.5,7,7.4,1.3
42,22.1,9.2,5.7,0.7
43,31.1,12.8,2.4,2
44,NA,NA,NA,NA
45,20,6.7,3,1.1
46,5.8,2.1,1.7,0.2
47,16,4.2,3.5,0.7
48,5.5,1.9,0.8,0.3
49,NA,NA,NA,NA
50,10.2,3.5,2.2,0.5
51,NA,NA,NA,NA
52,6,1.5,1.5,1
53,NA,NA,NA,NA
54,NA,NA,NA,NA
1,37.1,20.7,9.8,4.2
2,23.5,8.1,6.3,0.7
3,33.7,15.2,4.5,5
4,37.3,19.1,5.4,4
5,31.7,16.7,3.8,2.7
6,26.7,9.5,3.2,1.7
7,15.5,3.8,1.1,3.3
8,32.5,15,7.4,1.9
9,25.3,10.9,4.5,2
10,24.8,8.5,2.2,2.7
11,33.7,17.3,2.9,2.4
12,22.8,6.6,5,1.4
13,18.2,8,1.5,2.6
14,6.9,2,2,0.2
15,9.9,2.4,1.8,0.7
16,13.7,4.6,1.2,1.7
17,12.2,4.5,1.1,1
18,6.1,1.3,0.7,0
19,13,5.1,2.7,0.3
20,19.8,6.9,3.5,1.4
21,18.2,7.6,1.7,1.9
22,30.4,11.2,4.9,1.9
23,20.1,4.1,6.1,0.5
24,30,15.7,3.2,6
25,15.4,3.6,4.2,0.7
26,3.4,1.8,0.9,0.3
27,3.1,1.5,1.1,0
28,19.6,7.2,2.3,1.4
29,NA,NA,NA,NA
30,21.9,9.8,6.4,0.5
31,6.2,2.4,1.3,0.4
32,10.4,3.2,1.8,0.9
33,9.9,3.1,2.6,0.3
34,7.3,1.9,0.9,0.5
35,4.3,0.8,1,0.3
36,NA,NA,NA,NA
37,32.9,14.4,2.9,6.6
38,NA,NA,NA,NA
39,NA,NA,NA,NA
40,9.3,3.3,1.7,0.2
41,NA,NA,NA,NA
42,9.7,2.1,0.6,2.2
43,7.2,3,1.7,0.5
44,NA,NA,NA,NA
45,23.5,7.9,3.5,1.3
46,4.2,2.4,1.4,0
47,17.4,6.5,1.4,2.8
48,4.1,0.9,0.9,0.2
49,NA,NA,NA,NA
50,NA,NA,NA,NA
51,NA,NA,NA,NA
52,10.4,2.9,2.6,0.4
53,NA,NA,NA,NA
54,NA,NA,NA,NA
1,36.8,20.7,6.1,2.7
2,36,12.6,6.3,8.7
3,33.9,16.7,6,4.1
4,26.2,11.2,6.7,1.4
5,30.3,13.4,6.1,2.2
6,22.3,9.7,5,0.6
7,25.1,11.3,4.1,1.3
8,28.3,10.5,7.4,1.2
9,18.2,4.5,4.6,0.4
10,34.4,14.8,4,2.9
11,19,7.4,4.3,0.6
12,21.1,7.8,2.1,3.2
13,30.3,14.3,3.5,3.8
14,9.1,2.1,2.6,0
15,18.5,7.5,2.2,1
16,17.2,4.8,5.2,0.6
17,24.2,7.4,3.3,2.7
18,13.9,3.9,3.1,0.5
19,14.2,7.3,1.3,1.2
20,14.7,3.5,1.1,3.2
21,15.9,4.2,3.6,0.9
22,11,2.7,2,0.4
23,28.3,11.2,3.3,1.7
24,16.7,6.3,2.8,1.2
25,18.6,6.9,2.7,1.4
26,22.3,6.3,2.6,4
27,10.2,4.5,0.9,1.7
28,NA,NA,NA,NA
29,9.8,2.3,1.5,0.3
30,20.4,6.5,1.7,3.5
31,NA,NA,NA,NA
32,14.8,2.7,3.1,0.3
33,19.1,5.4,3.8,0.7
34,10.5,3.8,1.3,0.3
35,23.5,5.6,7.1,1.5
36,NA,NA,NA,NA
37,10.1,3.7,2.4,0.7
38,10.5,3.5,1.3,0.7
39,9,2.8,2.7,0.4
40,5.3,1.6,0.6,0.3
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,6,1.8,2.2,0.2
44,NA,NA,NA,NA
45,9.6,4.1,1.4,0.4
46,27.2,11.9,2.8,2.1
47,12.2,3.2,1.5,1.1
48,NA,NA,NA,NA
49,NA,NA,NA,NA
50,2.3,0.7,0.7,0
51,14.9,6.4,3.6,0.6
52,18.6,6.3,1.3,2.8
53,NA,NA,NA,NA
54,15.3,5.9,3.2,0.4
1,26.2,10.9,6.4,1
2,27.6,12,7.5,1.3
3,31.2,16.9,3.2,3.3
4,32.7,14.4,6.7,1.8
5,34.5,17.8,10,3.7
6,30.6,12.5,6.9,1.6
7,33.2,13.4,3.5,6.1
8,13.7,4.9,1.3,1
9,16.1,5,2.5,0.8
10,24.5,8.1,6.6,1.1
11,19.5,8.6,4.5,1
12,15.8,4.4,3.6,0.6
13,22.8,11.1,3.9,1.2
14,23.9,8.6,3.3,1.4
15,25.9,9.3,3,3.2
16,21.1,7.8,5,0.6
17,23.7,8.6,3.4,3.8
18,25.3,7.2,5.7,0.6
19,7.9,2.4,0.5,1
20,19.6,7.3,4.4,0.9
21,34.4,15.7,4.4,2.9
22,9.8,3.4,2.1,0.2
23,21.4,7.6,1.8,3.5
24,14.6,4.6,3.4,0.6
25,9.8,2.9,3.1,0.3
26,5,3.2,0.9,0.2
27,8.9,4,2.7,0.4
28,19.5,4.6,5.5,0.6
29,15.8,5.5,1.6,2.7
30,7.3,2,1.4,0.3
31,13.9,2.4,2.8,0.7
32,11.3,2.9,1.2,1.5
33,8.1,3.1,1.8,0.2
34,16.8,4.8,4.2,0.6
35,13.9,4.5,1.8,1.4
36,15.2,6.3,1.5,1.5
37,6.1,2.1,1.2,0.5
38,NA,NA,NA,NA
39,7.7,2.5,1,0.3
40,15.3,5,3.1,0.3
41,NA,NA,NA,NA
42,6.5,2.6,0.8,0.5
43,27.3,6.8,2.5,5
44,NA,NA,NA,NA
45,NA,NA,NA,NA
46,NA,NA,NA,NA
47,21,7.6,1.7,4
48,16,5.5,3,1.3
49,11.2,2.9,1.1,1.7
50,9.6,3.6,1.4,0.3
51,NA,NA,NA,NA
52,18.4,5.4,2.7,1.6
53,NA,NA,NA,NA
54,NA,NA,NA,NA
55,4,0,1,0
56,15.2,6.7,2.2,1
57,4.6,1.3,0.4,0.4
58,13.3,3.6,2.9,0.4
1,41.1,26.7,3.7,6.2
2,29.5,9.5,9.8,1.9
3,34.8,18.1,7.5,2.5
4,37.7,19.3,3,7.6
5,35.6,18.9,4.1,3.4
6,35.3,17.5,7.7,3.5
7,23.8,8,6.4,0.8
8,33.4,14.1,3.9,2.6
9,17.1,5.3,4.7,0.6
10,24.3,7.4,7.1,0.8
11,11.1,3.7,3,0.2
12,19,6.5,4.5,0.7
13,36.1,25,5.2,4.7
14,33.5,17,4.7,1.8
15,31.3,14.3,3,8.5
16,21.5,9.1,2.5,1.9
17,27.1,13.2,7.2,1.4
18,16.1,7.6,2.8,0.7
19,17.5,5.2,2.6,1.1
20,27.2,13,7.3,1.1
21,6.1,2.9,0.6,0.3
22,16.9,4.8,3.5,0.4
23,4.1,1.5,0.7,0.2
24,25.4,8.3,2.1,3
25,11.5,4.7,2.2,0.6
26,21.7,6.6,6.4,0.8
27,10.8,3.7,1.6,0.8
28,7.1,3.4,1.9,0.4
29,12.3,3.4,3.1,0.6
30,19.6,7.4,4.4,0.6
31,13.2,3.3,2.8,0.6
32,NA,NA,NA,NA
33,17.2,5.1,2,2.8
34,NA,NA,NA,NA
35,NA,NA,NA,NA
36,NA,NA,NA,NA
37,27.7,9.4,2,4.4
38,7.7,2.2,1.7,0.2
39,NA,NA,NA,NA
40,NA,NA,NA,NA
41,7.7,2.1,1.1,0.3
42,13.2,3.8,1.4,2
43,3.9,1.4,1.3,0.1
44,16.5,6.2,4.1,0.8
45,NA,NA,NA,NA
46,8.5,3.4,0.8,0.9
47,NA,NA,NA,NA
48,21.5,4.5,7.1,0.7
49,8.5,1.8,1.9,0.3
50,NA,NA,NA,NA
51,14.4,4.6,1.5,1.4
52,10.7,1.9,1.7,0.4
53,3.7,1.4,1.1,0.2
54,22.2,7.4,3.1,1.4
55,NA,NA,NA,NA
56,9.2,2.1,0.8,1.1
57,10,2.2,1.1,1.9
58,NA,NA,NA,NA
1,34,19,10.8,3
2,31.6,16,6.8,1.6
3,31.6,15.2,2.9,5.4
4,22.6,7.6,1.8,3.4
5,21.1,6.1,5.1,0.6
6,31.1,13.6,3.1,2.1
7,25.9,11.5,4.1,1.5
8,17.8,4.1,4.7,0.5
9,32.7,19.6,5.6,4.4
10,20.1,8.2,7.2,0.7
11,20.4,7.8,3.3,1.1
12,17.4,6.8,4,1
13,29.2,12,3.2,3.4
14,25,11,4.6,1.2
15,19.6,5.5,5.3,0.5
16,24.9,7.3,2.4,6.1
17,16,4.7,2.2,0.5
18,13.9,5.2,3.4,0.8
19,16.5,4.4,4.6,0.4
20,6.9,1.8,1.1,0.2
21,27.8,9.1,3.2,2.3
22,13.5,6.2,1.2,0.8
23,22.2,9.7,3.1,2.6
24,17.1,5.3,1.2,1.7
25,10.8,2.7,2.1,0.3
26,13.9,5.1,1.4,0.9
27,16.3,4.5,1.3,2.5
28,10,2.9,2.2,0.9
29,NA,NA,NA,NA
30,NA,NA,NA,NA
31,8.3,2.5,1.4,0.6
32,4.8,2.6,0.8,0
33,4.9,2.5,0.7,0.3
34,10.1,3.3,1.7,0.9
35,7.3,2.7,2.1,0.1
36,4.5,2.6,0.6,0.1
37,19.6,8.4,4.3,0.8
38,11.7,5.1,1.9,0.7
39,19.6,5.6,1.7,2.9
40,NA,NA,NA,NA
41,4.7,1.5,1.6,0.3
42,31.9,15.1,3.9,3.1
43,NA,NA,NA,NA
44,23.8,7.3,2.9,1.6
45,7.3,3.1,0.4,1.8
46,22.1,6.9,2.1,1
47,27.4,9,2.5,4.1
48,19.9,7.9,3.5,0.8
49,NA,NA,NA,NA
50,15.8,6.6,2.2,0.6
51,9.3,3.3,0.7,1.6
52,NA,NA,NA,NA
53,NA,NA,NA,NA
54,23.1,8.2,4.6,0.8
55,NA,NA,NA,NA
56,NA,NA,NA,NA
57,NA,NA,NA,NA
1,26.3,8.3,6.8,0.7
2,33.9,14.7,3.1,5.5
3,25.8,10.1,6.1,1.1
4,34.8,18.5,7.5,1.6
5,30.1,16.7,4.3,3.1
6,14.3,4.8,3.7,0.7
7,29.4,10.5,2.3,5.9
8,30.8,14.1,4.2,3.1
9,33.8,20.7,7.5,2.4
10,34.2,19.7,5.6,3.5
11,25.6,12.1,4.6,2.1
12,15,4.9,3.3,0.6
13,22.6,8.2,5.9,0.9
14,35.3,15.4,2.9,2.6
15,26.4,11.5,5.1,1.4
16,16.3,4.4,1.2,2.2
17,22.2,6.8,5.1,1
18,5.3,1.9,1.9,0.3
19,20,7.3,2.6,0.8
20,18.8,7.2,2.7,1.1
21,29.8,13.5,3.5,3.3
22,17.9,4.7,4.7,0.5
23,22.7,8.5,1.7,3.1
24,16.6,5.8,2.4,1
25,28.6,13.5,5.6,1.7
26,11.1,4.2,1.2,0.5
27,13.8,4.1,4.4,0.3
28,14.3,5.5,1.7,0.9
29,15.8,5.8,4.7,0.4
30,10.2,3.2,1.8,0.5
31,24.6,10.7,4.2,1.8
32,32,14.9,5.2,1.7
33,14.7,4.6,3.5,0.5
34,16.5,5.8,1.6,2.4
35,5.1,1.7,1,0.2
36,13.3,4.3,3.1,0.3
37,1.6,0.2,0.3,0
38,7.4,1.2,1.4,0
39,28.9,10.1,2.8,4.8
40,5,4.3,1.3,0.3
41,37,16,3.9,2.7
42,3.8,0.4,0.4,0
43,17.7,5.9,5.8,0.2
44,9.9,2.8,2.2,0.2
45,9.6,3.3,1.7,0.6
46,7.6,3,1.7,0.4
47,3,4,0,2
48,9.2,2.3,1.8,0.2
49,14.9,4.1,1.2,1.6
50,NA,NA,NA,NA
51,NA,NA,NA,NA
52,8.4,3.1,1.6,0.8
53,19.1,5,2.8,1.3
54,12,2.9,2.2,0.5
55,12.8,2.6,2.1,0.5
56,11,3.2,1.6,0.7
57,8.1,2.1,2.3,0.3
58,7.9,2.7,1.7,0.2
1,33,15.9,8.5,2.1
2,37.6,18.1,5.6,6
3,34.2,16.1,3.8,7.2
4,33.4,13.3,8.4,3.7
5,14.7,5.5,2.2,0.6
6,30.8,14.1,4,2.4
7,32.1,17.1,3.1,3.4
8,30.9,12.5,3.7,6.5
9,34.5,15.2,8.7,1.9
10,29.8,13.4,2.3,3.8
11,14.6,5.4,1.3,1.3
12,10.1,1.7,2.4,0.5
13,28.2,16,4.9,2.1
14,8.5,2.7,0.7,1.4
15,NA,NA,NA,NA
16,31.7,13.2,4.5,2.7
17,9.7,3,1.9,0.2
18,26.9,8.6,4.7,1.6
19,11.7,3.6,1.3,0.6
20,20.9,8.2,3.1,1.5
21,20.6,4.9,6.9,0.9
22,27.4,9.3,6.9,1.5
23,18.5,5.6,3.1,0.9
24,30,11.8,5.5,2.7
25,6.1,1.6,1.1,0.3
26,19,6.9,1.9,2.7
27,20.8,7.1,4.2,0.9
28,12.5,4.2,2.7,0.7
29,6.9,2.2,2.2,0.2
30,11.6,2.3,0.7,1.3
31,NA,NA,NA,NA
32,14.4,1.7,3.9,0.6
33,14.4,3.2,1,2.4
34,14,2.8,3.9,0.5
35,12.2,3.3,2.8,0.4
36,9.2,4.4,1.7,0.3
37,10.6,3.6,2.7,0.2
38,11.4,3.3,1.5,1.2
39,7.6,1,2.8,0
40,23,9.6,2.5,1.5
41,15.3,3.7,3.5,0.6
42,NA,NA,NA,NA
43,19,8.6,3.1,1
44,NA,NA,NA,NA
45,25,5,0,0
46,NA,NA,NA,NA
47,15.4,6.1,4,0.5
48,NA,NA,NA,NA
49,5.6,1.4,1.4,0.1
50,NA,NA,NA,NA
51,NA,NA,NA,NA
52,NA,NA,NA,NA
53,18.2,6.4,2.6,0.8
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,5.5,2.2,1.4,0.2
57,25.4,13.3,3.5,3.8
58,NA,NA,NA,NA
