DraftYr,Player,Contract Worth,Pos,FT%,FG%,APG,PPG,3P%,RPG,Total,min,max,mean
2017,OG Anunoby,8726306.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2019,Keldon Johnson,10017385.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2021,Corey Kispert,16364527.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2021,Scottie Barnes,33064628.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2021,Franz Wagner,22781932.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2020,Isaac Okoro,29083315.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2020,Jaden McDaniels,10090879.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2020,Saddiq Bey,13030303.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2020,Deni Avdija,20341348.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2020,Patrick Williams,32101641.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2019,De'Andre Hunter,32101641.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2017,Jonathan Isaac,20129572.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2019,Cameron Johnson,18593499.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2019,Cam Reddish,19328334.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2019,Darius Bazley,11461629.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2018,Chandler Hutchison,10786739.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2018,Kevin Knox,18554698.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2017,Josh Jackson,24118800.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2018,Michael Porter Jr.,15093095.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2018,Mikal Bridges,17630685.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2017,Jayson Tatum,27118800.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2017,Justin Jackson,12098915.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2018,Miles Bridges,16317853.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2018,Troy Brown Jr.,14511964.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
2020,Aleksej Pokusevski,14349113.0,SF,3.0,2.0,3.0,3.0,3.0,3.0,17.0,9161694.0,24855194.0,14465590.0
2021,Ziaire Williams,19908285.0,SF,3.0,3.0,3.0,3.0,3.0,1.8,16.8,9161694.0,24855194.0,14465590.0
2021,Jonathan Kuminga,24855194.0,SF,3.0,3.0,1.0,3.0,3.0,3.0,16.0,9161694.0,24855194.0,14465590.0
2019,Dylan Windler,10449718.0,SF,3.0,3.0,3.0,1.0,3.0,3.0,16.0,9161694.0,24855194.0,14465590.0
2019,Sekou Doumbouya,15887971.0,SF,3.0,3.0,1.0,3.0,3.0,3.0,16.0,9161694.0,24855194.0,14465590.0
2019,Nassir Little,10803948.0,SF,3.0,3.0,1.0,3.0,3.0,3.0,16.0,9161694.0,24855194.0,14465590.0
2019,Matisse Thybulle,12513127.0,SF,3.0,3.0,3.0,1.0,3.0,1.9,14.9,9161694.0,24855194.0,14465590.0
2018,Džanan Musa,9161694.0,SF,3.0,3.0,3.0,1.0,3.0,1.9,14.9,9161694.0,24855194.0,14465590.0
2020,Aaron Nesmith,16528217.0,SF,3.0,3.0,1.0,1.0,3.0,3.0,14.0,9161694.0,24855194.0,14465590.0
2021,Jalen Johnson,12888650.0,SF,3.0,3.0,1.0,1.0,3.0,1.0,12.0,9161694.0,24855194.0,14465590.0
2021,Trey Murphy III,14779534.0,SF,3.0,1.0,1.0,1.0,3.0,3.0,12.0,9161694.0,24855194.0,14465590.0
2020,Leandro Bolmaro,11461629.0,SF,3.0,1.0,1.0,1.0,1.0,1.0,8.0,9161694.0,24855194.0,14465590.0
