DraftYr,Player,Contract Worth,Pos,FT%,FG%,APG,PPG,3P%,RPG,Total,min,max,mean
2017,Donovan Mitchell,13092144.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2020,Desmond Bane,9944923.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2019,Tyler Herro,17188836.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2017,Markelle Fultz,33727701.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2019,Kevin Porter Jr.,8009193.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2020,R.J. Hampton,11129417.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2020,Payton Pritchard,10449718.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2020,Devin Vassell,18593499.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2020,Anthony Edwards,44271137.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2019,RJ Barrett,35596275.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2020,Immanuel Quickley,10803948.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2021,Josh Christopher,11463215.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2021,Josh Giddey,27214807.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2021,Jalen Green,40808719.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2021,Quentin Grimes,11128162.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2021,Cam Thomas,10455512.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2019,Jordan Poole,10090879.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2019,Nickeil Alexander-Walker,14349113.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2018,Shai Gilgeous-Alexander,16965132.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2018,Kevin Huerter,11902517.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2017,Malik Monk,14163715.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2017,Josh Hart,7570779.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2017,Luke Kennard,13618715.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2018,Lonnie Walker IV,12457536.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2021,Chris Duarte,17704356.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2018,Anfernee Simons,10175938.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2018,Josh Okogie,11430344.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2018,Donte DiVincenzo,13106790.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2018,Grayson Allen,11103735.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7570779.0,44271137.0,16500578.0
2018,Landry Shamet,9557142.0,SG,3.0,3.0,3.0,3.0,3.0,1.8,16.8,9228703.0,26422143.0,14768041.0
2020,Josh Green,13638019.0,SG,3.0,3.0,3.0,1.0,3.0,3.0,16.0,9228703.0,26422143.0,14768041.0
2019,Jarrett Culver,26422143.0,SG,1.0,3.0,3.0,3.0,3.0,3.0,16.0,9228703.0,26422143.0,14768041.0
2018,Jerome Robinson,15692356.0,SG,3.0,3.0,3.0,1.0,3.0,1.8,14.8,9228703.0,26422143.0,14768041.0
2021,Joshua Primo,18415445.0,SG,3.0,3.0,3.0,1.0,3.0,1.7,14.7,9228703.0,26422143.0,14768041.0
2018,Zhaire Smith,13791056.0,SG,3.0,3.0,3.0,1.0,3.0,1.0,14.0,9228703.0,26422143.0,14768041.0
2019,Romeo Langford,16528217.0,SG,3.0,3.0,1.0,1.0,3.0,1.9,12.9,9228703.0,26422143.0,14768041.0
2021,James Bouknight,19151216.0,SG,3.0,1.0,3.0,1.0,3.0,1.7,12.7,9228703.0,26422143.0,14768041.0
2021,Moses Moody,17023989.0,SG,3.0,3.0,1.0,1.0,3.0,1.0,12.0,9228703.0,26422143.0,14768041.0
2021,Keon Johnson,12888585.0,SG,3.0,1.0,3.0,1.0,3.0,1.0,12.0,9228703.0,26422143.0,14768041.0
2017,Terrance Ferguson,9253718.0,SG,3.0,3.0,1.0,1.0,3.0,1.0,12.0,9228703.0,26422143.0,14768041.0
2018,Jacob Evans,9228703.0,SG,3.0,1.0,3.0,1.0,3.0,1.0,12.0,9228703.0,26422143.0,14768041.0
2021,Jaden Springer,10393940.0,SG,0.0,3.0,0.0,1.0,0.0,1.0,5.0,9228703.0,26422143.0,14768041.0
