DraftYr,Player,Contract Worth,Pos,FT%,FG%,APG,PPG,3P%,RPG,Total,min,max,mean
2017,Harry Giles,9529198.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
2018,Marvin Bagley III,36137474.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
2019,Brandon Clarke,12152560.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
2019,Chuma Okeke,15098193.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
2019,Zion Williamson,44271137.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
2019,Rui Hachimura,20341348.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
2019,P.J. Washington,17878995.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
2018,Moritz Wagner,9881138.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
2017,John Collins,9922552.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
2018,Jaren Jackson Jr.,29280440.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
2018,Omari Spellman,9095405.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
2017,Lauri Markkanen,18384350.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
2017,Kyle Kuzma,7727382.0,PF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7727382.0,44271137.0,18438475.0
2017,Bam Adebayo,12587510.0,PF,3.0,3.0,3.0,3.0,1.0,3.0,16.0,7681457.0,26422143.0,12760536.0
2019,Grant Williams,11802681.0,PF,3.0,3.0,3.0,1.0,3.0,3.0,16.0,7681457.0,26422143.0,12760536.0
2020,Precious Achiuwa,12513127.0,PF,1.0,3.0,3.0,3.0,3.0,3.0,16.0,7681457.0,26422143.0,12760536.0
2020,Obi Toppin,22118492.0,PF,3.0,3.0,1.0,3.0,3.0,3.0,16.0,7681457.0,26422143.0,12760536.0
2018,Robert Williams,9283856.0,PF,3.0,3.0,3.0,3.0,0.0,3.0,15.0,7681457.0,26422143.0,12760536.0
2017,Tony Bradley,7681457.0,PF,3.0,3.0,1.0,1.0,3.0,3.0,14.0,7681457.0,26422143.0,12760536.0
2017,D.J. Wilson,10927154.0,PF,3.0,3.0,1.0,1.0,3.0,3.0,14.0,7681457.0,26422143.0,12760536.0
2020,Onyeka Okongwu,26422143.0,PF,3.0,3.0,1.0,3.0,0.0,3.0,13.0,7681457.0,26422143.0,12760536.0
2017,T.J. Leaf,10386007.0,PF,3.0,3.0,1.0,1.0,3.0,1.9,12.9,7681457.0,26422143.0,12760536.0
2017,Caleb Swanigan,7955043.0,PF,3.0,3.0,1.0,1.0,1.0,3.0,12.0,7681457.0,26422143.0,12760536.0
2019,Luka Šamanić,13030303.0,PF,1.0,3.0,1.0,1.0,3.0,3.0,12.0,7681457.0,26422143.0,12760536.0
2017,Tyler Lydon,8418654.0,PF,1.0,3.0,1.0,1.0,3.0,1.0,10.0,7681457.0,26422143.0,12760536.0
