DraftYr,Player,Contract Worth,Pos,FT%,FG%,APG,PPG,3P%,RPG,Total,min,max,mean
2019,Darius Garland,29083315.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2019,Coby White,24131515.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2021,Jalen Suggs,29956217.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2020,LaMelo Ball,35596275.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2021,Bones Hyland,10763119.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2020,Cole Anthony,15887971.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2020,Tyrese Maxey,12152560.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2020,Tyrese Haliburton,17878995.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2017,Derrick White,7625397.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2021,Tre Mann,14046909.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2019,Ja Morant,39619840.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2018,Trae Young,26527711.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2018,Luka Dončić,32467751.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2018,Collin Sexton,20175111.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2017,De'Aaron Fox,22157109.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2017,Dennis Smith Jr.,15496838.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2021,Cade Cunningham,45598818.0,PG,3.0,3.0,3.0,3.0,3.0,3.0,18.0,7625397.0,45598818.0,23480321.0
2017,Lonzo Ball,30184438.0,PG,2.0,3.0,3.0,3.0,3.0,3.0,17.0,10017385.0,30184438.0,17616418.0
2020,Killian Hayes,24131515.0,PG,3.0,2.0,3.0,3.0,3.0,3.0,17.0,10017385.0,30184438.0,17616418.0
2019,Ty Jerome,11129417.0,PG,3.0,3.0,3.0,3.0,3.0,1.9,16.9,10017385.0,30184438.0,17616418.0
2020,Malachi Flynn,10017385.0,PG,3.0,3.0,3.0,3.0,3.0,1.9,16.9,10017385.0,30184438.0,17616418.0
2018,Aaron Holiday,10477351.0,PG,3.0,3.0,3.0,3.0,3.0,1.7,16.7,10017385.0,30184438.0,17616418.0
2021,Davion Mitchell,20951910.0,PG,1.0,3.0,3.0,3.0,3.0,3.0,16.0,10017385.0,30184438.0,17616418.0
2020,Kira Lewis Jr.,17188836.0,PG,3.0,3.0,3.0,3.0,3.0,1.0,16.0,10017385.0,30184438.0,17616418.0
2017,Frank Ntilikina,16850488.0,PG,3.0,3.0,3.0,2.0,3.0,1.9,15.9,10017385.0,30184438.0,17616418.0
